iter	Passed	Remaining
0	105	104982
1	168	84229
2	243	80760
3	304	75822
4	353	70299
5	415	68831
6	471	66847
7	516	64029
8	571	62922
9	626	62054
10	672	60459
11	718	59169
12	780	59246
13	842	59309
14	901	59186
15	957	58879
16	1015	58737
17	1071	58448
18	1129	58332
19	1173	57493
20	1230	57382
21	1290	57352
22	1350	57363
23	1408	57278
24	1464	57100
25	1511	56621
26	1556	56087
27	1614	56056
28	1678	56206
29	1745	56440
30	1808	56530
31	1876	56777
32	1946	57043
33	2038	57920
34	2109	58148
35	2169	58094
36	2228	57993
37	2281	57762
38	2366	58305
39	2416	57990
40	2476	57915
41	2533	57793
42	2583	57487
43	2646	57490
44	2706	57448
45	2758	57215
46	2849	57783
47	2908	57690
48	2974	57723
49	3045	57861
50	3095	57592
51	3151	57454
52	3210	57372
53	3263	57165
54	3321	57075
55	3372	56856
56	3424	56648
57	3484	56595
58	3539	56455
59	3585	56170
60	3630	55879
61	3689	55818
62	3741	55641
63	3842	56201
64	3939	56671
65	4022	56921
66	4089	56946
67	4159	57012
68	4215	56872
69	4273	56777
70	4358	57030
71	4411	56854
72	4450	56512
73	4512	56464
74	4611	56872
75	4672	56808
76	4739	56806
77	4790	56623
78	4861	56676
79	4948	56911
80	5034	57115
81	5119	57311
82	5194	57385
83	5278	57565
84	5421	58358
85	5501	58466
86	5587	58641
87	5677	58842
88	5759	58949
89	5839	59045
90	5968	59624
91	6067	59882
92	6143	59919
93	6208	59840
94	6275	59787
95	6342	59725
96	6417	59740
97	6477	59615
98	6534	59468
99	6581	59236
100	6627	58994
101	6676	58780
102	6735	58653
103	6800	58587
104	6867	58533
105	6938	58521
106	7018	58573
107	7090	58563
108	7169	58605
109	7254	58696
110	7330	58709
111	7409	58745
112	7458	58549
113	7520	58450
114	7620	58644
115	7737	58968
116	7792	58808
117	7879	58898
118	7953	58886
119	8043	58988
120	8118	58978
121	8188	58930
122	8296	59154
123	8400	59348
124	8466	59267
125	8549	59302
126	8639	59387
127	8713	59360
128	8830	59621
129	8899	59556
130	8968	59491
131	9045	59483
132	9111	59394
133	9180	59328
134	9254	59298
135	9312	59163
136	9397	59197
137	9503	59365
138	9568	59268
139	9650	59279
140	9732	59291
141	9881	59704
142	10003	59953
143	10091	59986
144	10162	59921
145	10234	59865
146	10364	60141
147	10426	60025
148	10484	59882
149	10542	59743
150	10590	59544
151	10644	59382
152	10706	59270
153	10762	59122
154	10821	58996
155	10872	58822
156	10984	58982
157	11136	59346
158	11242	59466
159	11490	60324
160	11546	60171
161	11599	59999
162	11707	60117
163	11774	60023
164	11852	59982
165	11950	60042
166	12161	60663
167	12264	60736
168	12332	60638
169	12409	60585
170	12488	60545
171	12579	60557
172	12694	60682
173	12790	60719
174	12877	60709
175	12962	60688
176	13020	60540
177	13094	60469
178	13171	60411
179	13295	60567
180	13365	60478
181	13433	60376
182	13508	60309
183	13580	60226
184	13634	60066
185	13697	59945
186	13776	59894
187	13839	59775
188	13899	59644
189	13962	59525
