iter	RMSE
0	5250.43146
1	4809.636613
2	4415.310191
3	4056.839448
4	3728.78059
5	3430.023672
6	3152.760526
7	2905.938275
8	2683.106538
9	2478.764468
10	2301.207608
11	2132.92316
12	1980.768746
13	1844.35624
14	1719.315494
15	1597.935426
16	1493.275663
17	1398.747223
18	1313.273187
19	1234.622901
20	1162.58498
21	1097.187913
22	1037.018167
23	984.7032122
24	931.5103292
25	888.3098034
26	843.8559548
27	807.032084
28	775.8278453
29	742.7036561
30	713.7123187
31	685.9881655
32	659.678762
33	637.8431017
34	615.6839664
35	599.4355299
36	581.2710979
37	567.2562926
38	552.9115492
39	541.7863239
40	527.3295989
41	515.310555
42	505.5624931
43	496.476429
44	488.18931
45	480.9695879
46	472.3385189
47	465.1640172
48	458.3862975
49	450.2522269
50	442.3044773
51	436.5656646
52	430.592489
53	425.6650106
54	421.1399277
55	416.3177364
56	409.692356
57	404.1795564
58	399.7114203
59	395.0444932
60	391.6343961
61	386.119937
62	383.2129448
63	380.2684587
64	377.4202672
65	372.8559419
66	370.1100702
67	365.5033347
68	362.3652558
69	358.8662708
70	355.3974595
71	352.3680258
72	348.8013833
73	346.4992794
74	343.7524544
75	341.4632557
76	338.0983216
77	336.4681551
78	334.0616184
79	332.044484
80	330.4813615
81	329.2380539
82	327.3965945
83	325.187786
84	323.2488608
85	321.8579251
86	319.9140428
87	318.082313
88	316.2555442
89	314.4285406
90	311.6049684
91	309.7176711
92	308.0655655
93	306.6806008
94	305.3533419
95	303.3131307
96	301.4221812
97	300.2650852
98	298.5606674
99	297.383948
100	295.7862968
101	294.1531362
102	292.2375775
103	290.6868504
104	289.4871567
105	288.9302229
106	287.3752642
107	286.867699
108	285.5726994
109	285.0995946
110	283.4782228
111	282.1205826
112	281.3094969
113	280.8665156
114	280.3524903
115	279.0465317
116	278.4958821
117	277.9531501
118	277.2886997
119	276.2383078
120	274.926415
121	273.9997329
122	273.6963524
123	272.4217763
124	271.881733
125	270.299933
126	269.8520133
127	269.476795
128	269.1004458
129	268.543544
130	267.7156886
131	267.4877615
132	266.3532412
133	265.2596167
134	264.8235832
135	263.8385966
136	263.3957423
137	263.131342
138	261.8293968
139	260.709207
140	259.8534022
141	259.6420892
142	258.3887439
143	258.0031895
144	257.7003522
145	256.7424623
146	255.7317432
147	254.8743872
148	254.4193645
149	253.5893875
150	252.7399058
151	252.3314985
152	251.7837534
153	251.0259159
154	249.9460488
155	249.0464621
156	248.2583592
157	247.3813696
158	246.3985351
159	245.7782918
160	245.1216574
161	244.8419537
