iter	RMSE
0	5123.924273
1	4705.590179
2	4327.665274
3	3976.285811
4	3664.383762
5	3380.558018
6	3125.04255
7	2881.699577
8	2670.42204
9	2471.446677
10	2299.86191
11	2136.157491
12	1983.864971
13	1852.005089
14	1727.792809
15	1615.64076
16	1514.571111
17	1420.732282
18	1336.993934
19	1258.90739
20	1192.828169
21	1126.725401
22	1066.952171
23	1010.628486
24	958.0275534
25	909.4692289
26	869.2075728
27	829.9162882
28	794.5355417
29	762.211063
30	733.0523996
31	704.1252999
32	675.760755
33	655.3325548
34	631.6340321
35	610.0367254
36	595.1517372
37	581.4862543
38	566.3253891
39	550.3074949
40	538.565172
41	525.2740896
42	513.3009025
43	502.3861532
44	492.8420046
45	480.7121974
46	472.7003284
47	462.2197492
48	454.5220086
49	447.6866137
50	441.1700847
51	434.9895239
52	430.2938414
53	424.7458196
54	417.8517202
55	411.9191126
56	406.4269487
57	402.3028774
58	395.8048532
59	390.0399508
60	386.5375916
61	382.1402516
62	377.3010496
63	375.4979805
64	372.8453499
65	368.5922726
66	364.8144746
67	360.6704529
68	357.4596283
69	355.3244536
70	352.5550138
71	349.9298647
72	345.9683941
73	344.5015364
74	342.2985677
75	340.1158857
76	337.7928172
77	335.2369961
78	334.3882784
79	332.4324349
80	330.1899686
81	328.206061
82	326.2049935
83	324.1614406
84	322.469834
85	320.630274
86	318.6183406
87	316.9271387
88	315.0258224
89	314.4688582
90	311.9626667
91	310.6632551
92	308.2974107
93	306.808372
94	304.7532501
95	302.7568539
96	301.5481327
97	300.2169616
98	298.9617668
99	297.3836505
100	295.1735379
101	292.9176256
102	291.4964702
103	290.4732558
104	289.6419926
105	288.6382933
106	287.9055898
107	285.8821617
108	284.2453699
109	282.5700444
110	281.5144826
111	280.6555073
112	279.4747711
113	278.8587673
114	277.8252232
115	276.540114
116	275.1028417
117	273.8799731
118	272.7308171
119	272.1189102
120	271.0757413
121	270.1290783
122	268.9828343
123	268.0861953
124	267.7050169
125	266.9936465
126	266.1645989
127	265.2262503
128	264.1385512
129	263.5886347
130	262.6779676
131	261.0997635
132	260.4685935
133	259.674918
134	258.7570832
135	257.8639884
136	256.8728751
137	256.0569024
138	255.6170335
139	254.5605749
140	253.8859185
141	253.1356057
142	252.5197585
143	251.743273
144	251.1617714
145	250.5764758
146	249.7865509
147	249.3970055
148	248.9556552
149	248.6850155
150	248.1215552
151	247.4655144
152	246.8215048
153	246.1003319
154	245.2799015
155	243.8517466
156	243.2299136
157	242.2730826
158	241.8982804
159	241.2520678
160	240.6237075
161	239.7652044
162	239.156331
163	238.4731329
164	238.0676533
165	237.456848
166	236.4199957
167	235.6536942
168	234.9525447
169	234.2914565
170	233.9122491
171	233.2906932
172	232.9194918
173	232.2525415
174	231.5116433
175	231.1776514
176	230.5399086
177	229.6048345
178	229.0561927
179	228.4614082
180	227.8691961
181	227.6366301
182	227.286097
183	226.802946
184	226.3332384
185	226.0947229
186	225.1820305
187	224.6176005
188	223.9596056
189	223.546092
190	222.9184449
191	222.7298863
192	222.2803568
193	221.5856314
194	221.3379895
195	220.721519
196	220.145989
197	219.4228473
198	218.9011608
199	218.4405736
200	217.6004664
201	217.2733904
202	216.8213534
203	216.3275961
204	216.0179444
205	215.3171652
206	214.8679464
207	214.4600205
208	214.0663066
209	213.8709849
210	213.138009
211	212.6201163
212	212.1897601
213	211.5866849
214	210.988362
215	210.4458392
216	209.8987564
217	209.4928436
218	209.2164219
219	209.0362409
220	208.4522657
221	208.0543503
222	207.6639364
223	207.2254547
224	206.8615116
225	206.4280132
226	206.0682079
227	205.4550339
228	205.1484201
229	204.7982749
230	204.2725478
231	203.9536471
232	203.4794162
233	202.8724383
234	202.6312091
235	202.0462799
236	201.6029858
237	201.3720688
238	201.0199399
239	200.6555526
240	200.2295728
241	199.6610942
242	199.3532789
243	199.0836734
244	198.854579
245	198.3290371
246	198.0478715
247	197.6291604
248	197.2088345
249	196.8489915
250	196.4923248
251	196.06642
252	195.6860039
253	195.4727998
254	195.0975938
255	194.7751231
256	194.485901
257	194.2779814
258	193.9723763
259	193.6975959
260	193.5202465
261	193.2956499
262	192.8825467
263	192.612203
264	192.1273927
265	191.8510725
266	191.5762289
267	190.8928606
268	190.4732086
269	190.3107382
270	189.9413773
271	189.635031
272	189.4096806
273	189.0682938
274	188.6946309
275	188.4068171
276	188.1447166
277	187.9582388
278	187.6303496
279	187.4131201
280	187.0139339
281	186.7522357
282	186.5693322
283	186.2131607
284	185.7982507
285	185.4513334
286	185.1514803
287	184.9410875
288	184.4989849
289	184.1313012
290	183.9143835
291	183.6213467
292	183.4860647
293	183.2821847
294	183.0313487
295	182.9248062
296	182.5900285
297	182.2844792
298	182.0949989
299	181.7610558
300	181.556485
301	181.4456241
302	181.2066613
303	180.8160213
304	180.4838919
305	180.1702521
306	179.8642485
307	179.6863894
308	179.5883269
309	179.4467719
310	179.2287278
311	178.8649368
312	178.5424103
313	178.4268227
314	178.1924261
315	177.8673906
316	177.6855059
317	177.276215
318	177.0205053
319	176.8858655
320	176.8034022
321	176.5854777
322	176.3144778
323	175.9992951
324	175.763434
325	175.453462
326	175.1296952
327	174.778211
328	174.5906921
329	174.2959542
330	174.0182661
331	173.6565099
332	173.4328692
333	173.1636022
334	172.9395625
335	172.7980287
336	172.4150104
337	172.2658616
338	172.0904769
339	171.9928064
340	171.7956503
341	171.5180074
342	171.2634809
343	171.0106487
344	170.7683929
345	170.5277952
346	170.1430209
347	169.8866501
348	169.645796
349	169.5068013
350	169.3719322
351	169.1543161
352	168.9493811
353	168.8746691
354	168.7368921
355	168.4977683
356	168.3266974
357	168.127254
358	167.8680147
359	167.7351042
360	167.6368466
361	167.450337
362	167.3223444
363	167.2030105
364	167.0098513
365	166.8296279
366	166.4884607
367	166.2795358
368	166.09828
369	165.9088518
370	165.6994894
371	165.4653597
372	165.2304266
373	165.0140387
374	164.7670821
375	164.5191694
376	164.3100845
377	164.140764
378	163.9189548
379	163.6793266
380	163.4755551
381	163.2409255
382	162.9914041
383	162.5167087
384	162.3224379
385	162.1263959
386	161.8916745
387	161.7153766
388	161.5155622
389	161.3054626
390	161.1176435
391	160.9573478
392	160.8081921
393	160.5793052
394	160.4109815
395	160.1493712
396	159.9953673
397	159.8512852
398	159.7013876
399	159.515104
400	159.3778027
401	159.2482484
402	159.0943002
403	158.9987447
404	158.8944269
405	158.7560144
406	158.6228585
407	158.4916362
408	158.3681968
409	158.2309796
410	158.0964709
411	158.0062104
412	157.8786109
413	157.6780161
414	157.555583
415	157.3577019
416	157.2070009
417	156.9353261
418	156.7679689
419	156.5566596
420	156.433583
421	156.2264638
422	156.0542882
423	155.8966745
424	155.8327708
425	155.6369694
426	155.4550632
427	155.1938315
428	155.044843
429	154.8189586
430	154.6656516
431	154.5201172
432	154.382781
433	154.2516481
434	154.0387936
435	153.9189487
436	153.7818693
437	153.624794
438	153.4146201
439	153.313146
440	153.1739411
441	153.0774952
442	152.9365263
443	152.7268872
444	152.6159083
445	152.4722382
446	152.3444344
447	152.2741604
448	152.0445653
449	151.9115393
450	151.7234424
451	151.6464409
452	151.5520308
453	151.4595149
454	151.3432196
455	151.1565235
456	151.0397893
457	150.9704883
458	150.8955321
459	150.7050407
460	150.5426146
461	150.4779206
462	150.4029332
463	150.221785
464	150.0408248
465	149.9140323
466	149.8059963
467	149.6451267
468	149.5532374
469	149.4220037
470	149.359143
471	149.238465
472	149.1246476
473	148.9200807
474	148.7178863
475	148.5177069
476	148.4142133
477	148.2149398
478	148.071631
479	147.8368556
480	147.662567
481	147.5516187
482	147.4267246
483	147.2759917
484	147.0788174
485	146.9195473
486	146.7225283
487	146.5739622
488	146.46769
489	146.3131895
490	146.1384467
491	146.0008318
492	145.8664269
493	145.6325959
494	145.4921778
495	145.3766006
496	145.3185805
497	145.2044895
498	145.0175519
499	144.8907656
500	144.7615016
501	144.6353682
502	144.5108881
503	144.3762445
504	144.2208703
505	144.0386786
506	143.9364125
507	143.7874479
508	143.6363673
509	143.5033868
510	143.3201856
511	143.1755966
512	143.0796793
513	142.9470005
514	142.799547
515	142.6260994
516	142.510033
517	142.368447
518	142.2589941
519	142.1434739
520	142.0676382
521	141.8980684
522	141.7265296
523	141.5297778
524	141.3673371
525	141.2578304
526	141.2019156
527	141.0947678
528	141.0141849
529	140.9381475
