iter	Passed	Remaining
0	64	64131
1	140	70182
2	191	63715
3	240	59938
4	282	56285
5	325	53850
6	363	51536
7	402	49874
8	445	49011
9	490	48511
10	522	46961
11	573	47215
12	615	46740
13	647	45612
14	692	45493
15	743	45735
16	819	47361
17	866	47273
18	912	47098
19	948	46474
20	992	46285
21	1082	48124
22	1172	49815
23	1258	51169
24	1352	52729
25	1407	52710
26	1450	52256
27	1492	51822
28	1532	51307
29	1574	50894
30	1629	50923
31	1690	51125
32	1751	51324
33	1825	51853
34	1896	52278
35	1968	52702
36	2044	53203
37	2159	54670
38	2209	54437
39	2257	54181
40	2294	53677
41	2339	53358
42	2383	53056
43	2419	52570
44	2468	52397
45	2514	52144
46	2558	51881
47	2636	52295
48	2688	52174
49	2723	51755
50	2762	51395
51	2805	51143
52	2856	51040
53	2911	51002
54	2968	51003
55	3016	50847
56	3090	51126
57	3156	51264
58	3262	52027
59	3325	52099
60	3391	52203
61	3457	52309
62	3514	52275
63	3555	51994
64	3595	51715
65	3649	51644
66	3706	51620
67	3749	51385
68	3802	51299
69	3863	51334
70	3920	51297
71	3995	51500
72	4080	51822
73	4141	51818
74	4227	52136
75	4280	52042
76	4331	51922
77	4377	51742
78	4434	51693
79	4475	51464
80	4514	51215
81	4556	51013
82	4606	50894
83	4656	50783
84	4717	50782
85	4772	50722
86	4817	50552
87	4892	50700
88	4948	50656
89	4973	50291
90	5042	50365
91	5081	50149
92	5127	50008
93	5162	49755
94	5214	49671
95	5262	49553
96	5312	49458
97	5350	49249
98	5383	48997
99	5420	48782
100	5536	49276
101	5628	49556
102	5695	49598
103	5738	49441
104	5786	49326
105	5842	49279
106	5878	49058
107	5915	48856
108	5958	48710
109	5988	48451
110	6032	48313
111	6067	48105
112	6110	47964
113	6147	47781
114	6188	47624
115	6239	47552
116	6287	47453
117	6319	47232
118	6360	47091
119	6399	46926
120	6443	46806
121	6479	46629
122	6516	46462
123	6558	46332
124	6597	46179
125	6644	46089
126	6686	45965
127	6726	45823
128	6771	45720
129	6833	45735
130	6879	45633
131	6919	45498
132	6960	45376
133	6999	45236
134	7041	45120
135	7083	44998
136	7121	44861
137	7161	44732
138	7196	44579
139	7228	44405
140	7270	44293
141	7315	44203
142	7358	44099
143	7400	43992
144	7448	43918
145	7489	43810
146	7522	43650
147	7557	43509
148	7596	43388
149	7634	43264
150	7672	43141
151	7703	42975
152	7740	42849
153	7786	42776
154	7819	42626
155	7858	42513
156	7889	42360
157	7933	42276
158	7981	42218
159	8027	42144
160	8061	42011
161	8100	41904
162	8141	41807
163	8190	41753
164	8262	41815
165	8301	41709
166	8340	41601
167	8372	41464
168	8409	41351
169	8448	41249
170	8478	41104
171	8515	40994
172	8556	40901
173	8585	40758
174	8625	40662
175	8663	40560
176	8694	40429
177	8733	40329
178	8781	40276
179	8815	40161
180	8847	40034
181	8885	39936
182	8925	39849
183	8962	39747
184	9001	39657
185	9045	39586
186	9073	39448
187	9111	39355
188	9152	39275
189	9190	39181
190	9221	39057
191	9256	38955
192	9296	38872
193	9334	38779
194	9373	38693
195	9411	38606
196	9439	38478
197	9471	38366
198	9504	38257
199	9543	38175
200	9581	38086
201	9611	37971
202	9652	37897
203	9684	37786
204	9724	37710
205	9759	37617
206	9795	37525
207	9834	37447
208	9872	37366
209	9913	37292
210	9949	37205
211	9988	37126
212	10019	37020
213	10060	36952
214	10098	36871
215	10139	36803
216	10179	36729
217	10220	36663
218	10257	36581
219	10298	36514
220	10336	36435
221	10371	36345
222	10413	36282
223	10453	36212
224	10483	36110
225	10512	36002
226	10551	35931
227	10585	35842
228	10624	35769
229	10654	35669
230	10693	35599
231	10725	35504
232	10793	35530
233	10860	35550
234	10904	35499
235	10960	35480
236	10992	35388
237	11029	35312
238	11067	35238
239	11109	35179
240	11145	35102
241	11181	35022
242	11214	34935
243	11256	34876
244	11289	34788
245	11329	34725
246	11372	34670
247	11402	34576
248	11438	34500
249	11488	34466
250	11529	34406
251	11570	34344
252	11610	34279
253	11649	34215
254	11677	34117
255	11717	34054
256	11754	33981
257	11793	33917
258	11834	33858
259	11871	33788
