iter	Passed	Remaining
0	45	45195
1	102	50924
2	158	52747
3	219	54639
4	258	51511
5	308	51142
6	370	52494
7	419	52009
8	476	52473
9	530	52471
10	577	51938
11	627	51633
12	731	55517
13	883	62238
14	954	62682
15	1033	63542
16	1122	64891
17	1194	65149
18	1268	65472
19	1332	65271
20	1409	65687
21	1477	65665
22	1544	65599
23	1612	65572
24	1678	65466
25	1743	65331
26	1805	65053
27	1870	64938
28	1931	64657
29	1994	64504
30	2056	64290
31	2117	64060
32	2178	63825
33	2289	65045
34	2389	65873
35	2466	66048
36	2528	65818
37	2676	67753
38	2737	67448
39	2789	66936
40	2851	66703
41	2912	66422
42	2981	66351
43	3065	66611
44	3182	67534
45	3255	67521
46	3327	67476
47	3397	67389
48	3460	67171
49	3517	66838
50	3579	66612
51	3633	66243
52	3734	66732
53	3826	67030
54	3880	66671
55	3932	66292
56	4033	66732
57	4104	66661
58	4155	66275
59	4295	67301
60	4389	67571
61	4444	67238
62	4520	67227
63	4597	67244
64	4694	67522
65	4806	68017
66	4892	68135
67	4962	68012
68	5029	67858
69	5086	67573
70	5183	67828
71	5240	67542
72	5290	67187
73	5337	66796
74	5385	66426
75	5452	66290
76	5544	66457
77	5606	66265
78	5692	66366
79	5769	66347
80	5830	66145
81	5895	66000
82	5968	65938
83	6031	65769
84	6100	65672
85	6163	65502
86	6222	65302
87	6293	65224
88	6367	65174
89	6431	65027
90	6499	64926
91	6566	64808
92	6624	64608
93	6690	64480
94	6753	64334
95	6809	64122
96	6876	64011
97	6948	63952
98	7040	64074
99	7094	63846
100	7181	63920
101	7245	63784
102	7295	63532
103	7350	63326
104	7408	63145
105	7463	62945
106	7511	62685
107	7567	62498
108	7623	62319
109	7668	62048
110	7714	61782
111	7761	61537
112	7821	61391
113	7881	61255
114	7941	61113
115	8007	61022
116	8078	60971
117	8122	60709
118	8184	60596
119	8239	60423
120	8293	60244
121	8337	60004
122	8384	59783
123	8428	59541
124	8492	59449
125	8563	59400
126	8625	59294
127	8707	59319
128	8776	59257
129	8837	59143
130	8898	59028
131	8957	58899
132	9013	58754
133	9061	58562
134	9118	58425
135	9165	58226
136	9217	58064
137	9271	57914
138	9328	57783
139	9364	57527
140	9410	57330
141	9466	57196
142	9526	57089
143	9575	56918
144	9656	56942
145	9739	56967
146	9833	57063
147	9897	56979
148	9960	56888
149	10020	56782
150	10063	56582
151	10110	56404
152	10171	56308
153	10231	56207
154	10280	56047
155	10389	56207
156	10453	56131
157	10521	56072
158	10573	55928
159	10622	55769
160	10684	55681
161	10756	55642
162	10804	55478
163	10867	55396
164	10921	55271
165	10978	55158
166	11044	55089
167	11110	55022
168	11156	54860
169	11225	54807
170	11326	54910
171	11412	54940
172	11473	54845
173	11536	54762
174	11586	54622
175	11658	54582
176	11753	54649
177	11818	54575
178	11879	54486
179	11934	54369
180	11985	54234
181	12050	54159
182	12109	54061
183	12176	54001
184	12259	54009
185	12317	53907
186	12379	53820
187	12445	53751
188	12506	53667
189	12565	53569
190	12629	53495
191	12691	53408
192	12752	53324
193	12822	53271
194	12883	53185
195	12933	53052
196	12996	52976
197	13049	52856
198	13115	52792
199	13165	52663
200	13282	52799
201	13335	52681
202	13428	52720
203	13527	52784
204	13597	52732
205	13723	52896
206	13783	52804
207	13844	52715
208	13903	52618
209	13987	52620
210	14061	52581
211	14126	52506
212	14310	52875
213	14372	52790
214	14434	52701
215	14529	52737
216	14593	52656
217	14659	52584
218	14710	52461
219	14770	52368
220	14827	52264
221	14890	52182
222	14951	52095
223	15013	52010
224	15116	52067
225	15174	51969
226	15236	51884
227	15298	51801
228	15362	51722
229	15424	51636
230	15492	51575
231	15558	51502
232	15627	51443
233	15796	51708
234	15879	51694
235	15947	51627
236	16029	51607
237	16081	51487
238	16145	51409
239	16204	51315
240	16263	51220
241	16317	51109
242	16385	51044
243	16438	50933
244	16514	50893
245	16623	50951
246	16687	50874
247	16763	50830
248	16831	50764
249	16902	50706
250	16962	50616
251	17014	50502
252	17084	50443
253	17165	50415
254	17218	50304
255	17276	50208
256	17331	50105
257	17393	50023
258	17453	49934
259	17567	49999
260	17634	49929
261	17701	49861
262	17763	49778
263	17836	49725
264	17904	49660
265	18002	49676
266	18058	49577
267	18118	49487
268	18180	49406
269	18238	49311
270	18301	49230
271	18353	49122
272	18403	49008
273	18463	48922
274	18559	48930
275	18636	48886
276	18697	48803
277	18752	48702
278	18803	48592
279	18863	48505
280	18920	48411
281	18975	48312
282	19030	48215
283	19108	48175
284	19234	48253
285	19297	48176
286	19378	48141
287	19449	48082
288	19512	48004
289	19580	47938
290	19639	47849
291	19723	47822
292	19838	47868
293	19896	47777
294	19953	47686
295	20019	47613
296	20088	47548
297	20162	47497
298	20215	47394
299	20273	47305
300	20315	47177
301	20355	47046
302	20394	46913
303	20449	46817
304	20511	46739
305	20565	46642
306	20615	46536
307	20676	46454
308	20744	46390
309	20839	46383
310	20909	46323
311	20966	46232
312	21017	46130
313	21076	46046
314	21136	45964
315	21220	45933
316	21285	45861
317	21345	45778
318	21438	45765
319	21522	45735
320	21584	45655
321	21636	45557
322	21690	45463
323	21754	45389
324	21818	45315
325	21887	45252
326	21943	45161
327	22013	45100
328	22111	45096
329	22166	45003
330	22229	44928
331	22290	44849
332	22358	44784
333	22426	44719
334	22489	44644
335	22546	44556
336	22616	44495
337	22711	44482
338	22779	44416
339	22848	44352
340	22900	44255
341	22963	44180
342	23018	44090
343	23084	44021
344	23148	43948
345	23231	43910
346	23312	43870
347	23381	43807
348	23449	43741
349	23514	43669
350	23582	43603
351	23649	43535
352	23718	43472
353	23780	43395
354	23852	43338
355	23925	43280
356	23985	43201
357	24054	43136
358	24118	43063
359	24191	43007
360	24250	42924
361	24317	42858
362	24401	42820
363	24470	42756
364	24533	42681
365	24643	42687
366	24708	42616
367	24772	42544
368	24833	42465
369	24886	42373
370	24948	42298
371	25024	42245
372	25095	42183
373	25158	42110
374	25269	42115
375	25337	42049
376	25406	41984
377	25464	41902
378	25527	41827
379	25593	41757
380	25655	41681
381	25723	41615
382	25787	41542
383	25873	41505
384	25949	41451
385	26010	41373
386	26079	41309
387	26130	41215
388	26192	41140
389	26246	41052
390	26306	40973
391	26366	40894
392	26446	40847
393	26529	40804
394	26594	40733
395	26655	40656
396	26706	40564
397	26768	40489
398	26830	40413
399	26882	40323
400	26943	40247
401	27006	40174
402	27120	40176
403	27191	40114
404	27277	40074
405	27347	40010
406	27408	39934
407	27468	39856
408	27542	39799
409	27607	39728
410	27662	39643
411	27756	39613
412	27823	39546
413	27891	39479
414	27957	39410
415	28010	39322
416	28077	39255
417	28136	39176
418	28233	39149
419	28306	39090
420	28382	39034
421	28444	38959
422	28528	38914
423	28607	38863
424	28680	38802
425	28735	38718
426	28785	38627
427	28834	38535
428	28884	38444
429	28950	38375
430	29009	38297
431	29065	38215
432	29125	38139
433	29174	38048
434	29237	37975
435	29295	37896
436	29365	37833
437	29431	37764
438	29498	37695
439	29573	37639
440	29664	37601
441	29750	37557
442	29826	37502
443	29883	37421
444	29949	37353
445	30005	37270
446	30066	37196
447	30118	37110
448	30172	37027
449	30238	36958
450	30311	36898
451	30376	36827
452	30439	36755
453	30498	36679
454	30552	36596
455	30616	36525
456	30677	36450
457	30746	36385
458	30806	36309
459	30859	36226
460	30907	36136
461	30969	36063
462	31058	36022
463	31122	35951
464	31183	35878
465	31243	35803
466	31326	35753
467	31391	35684
468	31456	35615
469	31510	35533
470	31592	35482
471	31682	35441
472	31738	35362
473	31799	35288
474	31851	35203
475	31907	35124
476	31967	35049
477	32016	34964
478	32065	34877
479	32127	34804
480	32189	34732
481	32263	34672
482	32333	34609
483	32401	34543
484	32460	34468
485	32523	34396
486	32579	34319
487	32651	34256
488	32715	34187
489	32786	34124
