iter	Passed	Remaining
0	17	1697
1	27	1336
2	37	1215
3	49	1182
4	58	1118
5	68	1070
6	77	1028
7	87	1004
8	97	983
9	106	960
10	115	937
11	125	921
12	135	907
13	144	890
14	154	873
15	163	858
16	172	843
17	181	828
18	191	815
19	200	801
20	210	790
21	218	775
22	227	761
23	235	747
24	245	735
25	253	721
26	262	710
27	270	696
28	279	685
29	288	672
30	296	660
31	309	657
32	319	648
33	328	637
34	337	626
35	346	615
36	354	603
37	363	593
38	372	582
39	381	571
40	389	561
41	399	552
42	408	540
43	416	530
44	437	534
45	456	535
46	472	532
47	483	523
48	493	513
49	503	503
50	513	492
51	523	482
52	534	473
53	550	469
54	572	468
55	593	466
56	610	460
57	627	454
58	641	445
59	653	435
60	677	433
61	694	425
62	710	417
63	722	406
64	743	400
65	754	388
66	763	376
67	772	363
68	781	350
69	791	339
70	801	327
71	810	315
72	820	303
73	830	291
74	840	280
75	850	268
76	862	257
77	875	246
78	885	235
79	897	224
80	909	213
81	921	202
82	931	190
83	941	179
84	950	167
85	959	156
86	968	144
87	977	133
88	986	121
89	995	110
90	1004	99
91	1012	88
92	1021	76
93	1030	65
94	1039	54
95	1048	43
96	1058	32
97	1068	21
98	1078	10
99	1086	0
