iter	Passed	Remaining
0	244	244249
1	649	323851
2	965	320794
3	1265	315140
4	1541	306771
5	1869	309778
6	2183	309729
7	2459	305028
8	2719	299464
9	2984	295450
10	3275	294460
11	3538	291375
12	3841	291637
13	4154	292579
14	4435	291249
15	4697	288913
16	4922	284632
17	5190	283175
18	5455	281686
19	5696	279131
20	5943	277078
21	6191	275239
22	6442	273685
23	6722	273386
24	6956	271301
25	7354	275493
26	7675	276608
27	7940	275643
28	8248	276173
29	8505	275008
30	8763	273943
31	9016	272756
32	9279	271924
33	9540	271054
34	9797	270135
35	10045	269002
36	10295	267963
37	10542	266893
38	10806	266281
39	11100	266404
40	11392	266473
41	11704	266981
42	12006	267218
43	12303	267317
44	12587	267133
45	12832	266138
46	13067	264955
47	13320	264192
48	13608	264121
49	13880	263724
50	14190	264054
51	14657	267220
52	14939	266935
53	15211	266477
54	15552	267217
55	15907	268153
56	16262	269042
57	16614	269844
58	16911	269726
59	17282	270755
60	17712	272655
61	18056	273179
62	18375	273299
63	18631	272491
64	18915	272086
65	19161	271159
66	19438	270692
67	19735	270492
68	20026	270210
69	20294	269622
70	20600	269552
71	20881	269143
72	21165	268774
73	21447	268378
74	21722	267908
75	21975	267170
76	22262	266858
77	22561	266691
78	22878	266718
79	23174	266504
80	23529	266958
81	23800	266454
82	24107	266347
83	24403	266114
84	24665	265515
85	24961	265292
86	25214	264612
87	25474	264004
88	25725	263320
89	25999	262880
90	26262	262335
91	26523	261773
92	26888	262231
93	27147	261656
94	27468	261672
95	27801	261793
96	28096	261557
97	28416	261550
98	28707	261263
99	28970	260731
100	29216	260058
101	29467	259431
102	29735	258954
103	29972	258224
104	30217	257567
105	30489	257146
106	30664	255915
107	30900	255217
108	31132	254484
109	31211	252526
110	31461	251977
111	31743	251682
112	32050	251578
113	32344	251377
114	32594	250835
115	32830	250190
116	33068	249566
117	33356	249328
118	33624	248936
119	33907	248656
120	34294	249133
121	34670	249512
122	34999	249552
123	35246	248995
124	35614	249301
125	35895	248989
126	36169	248631
127	36460	248389
128	36714	247893
129	37006	247656
130	37291	247376
131	37450	246264
132	37698	245750
133	37961	245336
134	38193	244722
135	38474	244426
136	38779	244280
137	39045	243895
138	39455	244397
139	39739	244115
140	40040	243937
141	40367	243910
142	40649	243613
143	40904	243157
144	41213	243019
145	41539	242980
146	41857	242884
147	42165	242733
148	42464	242529
149	42773	242381
150	43058	242098
151	43301	241579
152	43561	241154
153	43835	240808
154	44104	240439
155	44398	240205
156	44693	239976
157	44974	239674
158	45305	239634
159	45600	239404
160	45921	239305
161	46231	239147
162	46512	238839
163	46771	238418
164	47041	238060
165	47293	237607
166	47544	237154
167	47802	236734
168	48072	236379
169	48338	236007
170	48623	235725
171	48928	235537
172	49203	235212
173	49458	234784
174	49720	234398
175	49996	234073
176	50296	233863
177	50539	233391
178	50839	233179
179	51115	232858
180	51363	232412
181	51603	231930
182	51854	231501
183	52150	231274
184	52442	231028
185	52709	230675
186	53105	230882
187	53375	230537
188	53620	230087
189	53868	229651
190	54145	229338
191	54401	228939
192	54684	228653
193	54952	228306
194	55188	227829
195	55450	227461
196	55730	227166
197	56022	226920
198	56346	226799
199	56655	226622
200	56955	226404
201	57208	226000
202	57458	225589
203	57733	225273
204	57988	224881
205	58289	224669
206	58553	224313
207	58824	223985
208	59059	223520
209	59348	223262
210	59601	222868
211	59844	222440
212	60096	222045
213	60366	221720
214	60612	221305
215	60863	220912
216	61125	220559
217	61382	220188
218	61642	219831
219	61884	219407
220	62115	218950
221	62399	218678
222	62698	218460
223	62946	218065
224	63214	217738
225	63466	217357
226	63714	216964
227	63944	216512
228	64203	216162
229	64503	215945
230	64789	215685
231	65062	215378
232	65278	214886
233	65505	214433
234	65750	214037
235	66020	213728
236	66284	213397
237	66546	213060
238	66795	212683
239	67087	212442
240	67379	212202
241	67648	211890
242	67920	211588
243	68206	211329
244	68521	211158
245	68796	210865
246	69090	210629
247	69386	210396
248	69657	210090
249	69936	209810
250	70275	209706
251	70577	209490
252	70829	209130
253	71071	208737
254	71315	208352
255	71575	208017
256	71861	207755
257	72145	207489
258	72415	207182
259	72692	206894
260	72961	206584
261	73229	206272
262	73491	205942
263	73756	205624
264	74081	205472
265	74441	205414
266	74710	205103
267	75044	204973
268	75323	204688
269	75591	204376
270	75861	204069
271	76167	203860
272	76513	203755
273	76817	203537
274	77115	203303
275	77352	202909
276	77591	202522
277	77851	202190
278	78112	201859
279	78435	201692
280	78778	201571
281	79065	201308
282	79331	200992
283	79617	200726
284	79888	200423
285	80142	200076
286	80422	199794
287	80652	199391
288	80883	198989
289	81175	198740
290	81406	198342
291	81672	198028
292	81938	197716
293	82185	197358
294	82454	197051
295	82695	196680
296	82959	196364
297	83229	196063
298	83530	195835
299	83768	195459
300	84020	195117
301	84299	194837
302	84567	194533
303	84824	194204
304	85117	193956
