iter	RMSE
0	5278.779083
1	4832.367193
2	4425.722882
3	4067.484412
4	3735.278458
5	3432.504483
6	3163.942104
7	2917.242647
8	2691.741565
9	2489.980717
10	2299.764801
11	2128.414615
12	1975.464142
13	1836.015513
14	1709.063126
15	1596.28949
16	1487.935867
17	1393.371768
18	1308.081366
19	1228.170047
20	1155.437429
21	1086.410597
22	1023.530739
23	966.8056497
24	918.304505
25	874.8006159
26	829.7557125
27	791.4363193
28	755.5626103
29	722.97124
30	692.3915681
31	666.6512627
32	639.2991482
33	614.5922172
34	596.3015705
35	578.508817
36	564.9512704
37	552.1927352
38	537.0629711
39	524.4850036
40	513.755814
41	504.9080211
42	491.6750244
43	480.5237247
44	470.1875919
45	462.1080035
46	455.2406619
47	449.4946135
48	444.669057
49	437.8738567
50	428.7507583
51	422.5658758
52	417.9850039
53	412.9725427
54	406.9695338
55	400.0804534
56	396.6962651
57	391.8063019
58	386.0353113
59	382.696441
60	378.071814
61	374.1401024
62	370.9581224
63	365.5028938
64	362.7482182
65	358.00985
66	354.8537709
67	350.3585682
68	346.3587041
69	343.9661156
70	340.1952773
71	337.8438298
72	335.0957335
73	331.8048436
74	329.4090421
75	325.9432102
76	323.8563527
77	321.677506
78	318.3384361
79	315.8353761
80	313.7029682
81	311.6336372
82	309.7828524
83	307.61201
84	306.1859832
85	303.9560571
86	302.3476429
87	301.5924645
88	300.7261261
89	299.5106802
90	298.3387679
91	296.6161108
92	294.9217406
93	293.9330256
94	292.1703051
95	290.7905885
96	289.9000183
97	288.2510751
98	286.3927153
99	284.4402571
100	282.7173944
101	281.9407579
102	280.353212
103	278.9608852
104	277.6976162
105	276.3342295
106	275.2242069
107	274.0821324
108	272.9184218
109	271.4403403
110	270.0308579
111	268.5465817
112	266.9703932
113	265.8596254
114	265.0828698
115	264.1862911
116	263.675444
117	262.5319626
118	261.5069419
119	260.997232
120	260.4141439
121	259.5576148
122	259.1524756
123	257.5769382
124	256.579158
125	256.2070643
126	255.8278038
127	254.3370734
128	253.0591492
129	251.824206
130	251.1552801
131	250.310702
132	249.3946059
133	248.3598049
134	248.000347
135	247.0520443
136	246.7178428
137	246.3618875
138	245.6621014
139	244.943541
140	244.611146
141	243.8570113
142	243.5615279
143	242.9379173
144	242.2978612
145	241.885788
146	240.9806405
147	240.3761804
148	239.9316738
149	239.4187197
150	238.9032928
151	238.1750737
152	237.4279903
153	237.0639278
154	236.6119008
155	235.8691856
156	235.2659748
157	234.8680112
158	234.1443738
159	233.5127801
160	232.9710252
161	232.5842418
162	232.3200072
163	231.9376911
164	231.1185418
165	230.8291772
166	230.057647
167	229.8145218
168	229.3561501
169	228.9129629
170	228.6398474
171	228.0639825
172	227.5268291
173	226.9913878
174	226.5474717
175	225.9754032
176	225.7527759
177	225.3013607
178	224.8386601
179	224.0323897
180	223.37404
181	222.6928544
182	222.0965668
183	221.9074574
184	221.2854028
185	220.7511564
186	220.3438412
187	219.9253707
188	219.303521
189	218.8251581
190	218.4139996
191	217.930212
192	217.286758
193	216.9701017
194	216.4007735
195	215.8938523
196	215.4489866
197	214.8198277
198	214.4438602
199	214.1431186
200	213.5870443
201	213.1104211
202	212.4691805
203	211.9900226
204	211.7460652
205	211.0929858
206	210.7806673
207	210.4384531
208	209.9794548
209	209.6546395
210	209.248723
211	208.8887357
212	208.5237989
213	208.255597
214	207.6810782
215	207.3697976
216	206.9326699
217	206.5091077
218	206.0164774
219	205.6616757
220	205.4337847
221	205.0179764
222	204.4558796
223	204.0190458
224	203.6634544
225	203.1020728
226	202.8444817
227	202.643968
228	202.1662662
229	201.8512078
230	201.6334064
231	201.3354868
232	201.024994
233	200.6793007
234	200.1383767
235	199.9031084
236	199.7212603
237	199.52921
238	199.1950535
239	198.6521717
240	198.2768975
241	197.864161
242	197.6693002
243	197.5155252
244	197.0708097
245	196.8279202
246	196.5396074
247	196.0783438
248	195.8404883
249	195.3057485
250	195.0298713
251	194.8492813
252	194.652386
253	194.3758544
254	194.0290736
255	193.4636555
256	193.0838378
257	192.8360828
258	192.4955114
259	192.1273611
260	191.7466901
261	191.2782942
262	190.8540086
263	190.5701727
264	190.1446206
265	189.9985355
266	189.5682471
267	189.2556016
268	188.8762055
269	188.4137076
270	188.0591823
271	187.6548002
272	187.377791
273	187.2165065
274	186.8469003
275	186.4827087
276	186.1518528
277	185.7395963
278	185.3444605
279	185.0231281
280	184.712342
281	184.3241448
282	184.0880169
283	183.7690032
284	183.4386836
285	183.0868684
286	182.8872215
287	182.6576051
288	182.3700029
289	182.0361579
290	181.8120258
291	181.5716802
292	181.3678701
293	181.0438212
294	180.8108365
295	180.4361124
296	180.1748917
297	179.8369291
298	179.6597753
299	179.2882861
300	179.0823426
301	178.860112
302	178.6953223
303	178.3930547
304	178.2736334
305	178.028644
306	177.769876
307	177.5660934
308	177.3209991
309	177.1591081
310	176.8232035
311	176.6353781
312	176.3730244
313	176.1533672
314	175.9625994
315	175.5691655
316	175.4563884
317	175.2194129
318	174.9814318
319	174.7345248
320	174.5247586
321	174.4054252
322	174.0967196
323	173.9748421
324	173.7730048
325	173.5293587
326	173.338436
327	173.0881272
328	172.7927275
329	172.5471426
330	172.3918376
331	172.1407353
332	172.0201492
333	171.7426368
334	171.4178675
335	171.1371366
336	170.9592981
337	170.6896174
338	170.3270201
339	170.145252
340	169.94063
341	169.6363168
342	169.4198955
343	169.1701571
344	168.9851275
345	168.7899983
346	168.6084711
347	168.3737591
348	168.2906942
349	168.0474882
350	167.8373458
351	167.5487178
352	167.3850557
353	167.1500912
354	166.9518171
355	166.6849382
356	166.5210065
357	166.3296593
358	166.2202778
359	165.9423329
360	165.6427459
361	165.522645
362	165.2603939
363	165.1153019
364	164.8922955
365	164.6938061
366	164.5888431
367	164.501893
368	164.2618612
369	164.0119982
370	163.8610814
371	163.7847291
372	163.554244
373	163.3313971
374	163.138262
375	163.0216929
376	162.7749401
377	162.5805957
378	162.3958669
379	162.2904273
380	162.1307537
381	162.0373388
382	161.9554766
383	161.8233961
384	161.7280003
385	161.6685092
386	161.4212155
387	161.2414488
388	160.9310883
389	160.8034237
390	160.5981331
391	160.429156
392	160.2339954
393	160.0844786
394	160.0333106
395	159.8277447
396	159.7214741
397	159.6569716
398	159.4507052
399	159.287151
400	159.0552284
401	158.8681504
402	158.6314344
403	158.4708592
404	158.2619955
405	158.0786448
406	157.8602827
407	157.7902968
408	157.5678425
409	157.3541496
410	157.2281257
411	157.0790389
412	156.9225721
413	156.660992
414	156.5132531
415	156.2909501
416	156.0958743
417	155.9091849
418	155.7256941
419	155.6217236
420	155.4374628
421	155.2281263
422	155.0958133
423	155.0013539
424	154.7688816
425	154.5553258
426	154.3642522
427	154.3185614
428	154.2317877
429	154.0036693
430	153.7735133
431	153.5968379
432	153.4373956
433	153.3227247
434	153.155489
435	152.9569084
436	152.9142179
437	152.8180872
438	152.6592191
439	152.503249
440	152.3083346
441	152.2539565
442	152.040989
443	151.9209857
444	151.7316036
445	151.5665063
446	151.426407
447	151.2454736
448	151.0856059
449	150.9803305
450	150.8288087
451	150.7292924
452	150.5473065
453	150.4445249
454	150.3500794
455	150.2219787
456	150.0985752
457	149.9599812
458	149.8436028
459	149.6892594
460	149.5324404
461	149.4405722
462	149.2570948
463	149.0950962
464	148.9457169
465	148.7969542
466	148.5718172
467	148.4172687
468	148.2003691
469	147.9921363
470	147.7828153
471	147.6171815
472	147.4948035
473	147.3172715
474	147.1483278
475	147.023188
476	146.8866233
477	146.752384
478	146.6895828
479	146.5595165
480	146.4183685
481	146.3644958
482	146.2196566
483	146.0671278
484	145.9674808
485	145.8034742
486	145.6254616
487	145.5497551
488	145.4271669
489	145.292192
490	145.1673998
491	145.091902
492	144.9762203
493	144.8915653
494	144.7652735
495	144.7148567
496	144.5518878
497	144.4568229
498	144.3435206
499	144.2160913
500	144.0401274
501	143.9810589
502	143.8457914
503	143.6920125
504	143.5638731
505	143.5289282
506	143.3945731
507	143.2463301
508	143.0954483
509	142.9641904
510	142.793332
511	142.629238
512	142.5261132
513	142.3893844
514	142.335933
515	142.194484
516	142.0586635
517	141.9558724
518	141.8255046
519	141.7014392
520	141.566802
521	141.488726
522	141.3568569
523	141.257401
524	141.0953961
525	141.0478437
526	140.9214935
527	140.7951782
528	140.6812665
529	140.511561
530	140.4251375
531	140.3428915
532	140.266075
533	140.2156185
534	140.1088958
535	139.968078
536	139.8788778
537	139.7525589
538	139.5943528
539	139.5037203
540	139.3748005
541	139.3102179
542	139.2210382
543	139.1334089
544	139.0384391
545	138.9402326
546	138.8103936
547	138.6995332
548	138.5629659
549	138.4443589
550	138.3186894
551	138.2648574
552	138.1511646
553	138.035214
554	137.9117136
555	137.8203311
556	137.7253207
557	137.6412293
558	137.5302114
559	137.4228962
560	137.3154718
561	137.2228018
562	137.0399832
563	136.9861095
564	136.8375928
565	136.7797527
566	136.6834654
567	136.5759318
568	136.5277169
569	136.4304493
570	136.3401774
571	136.2687865
572	136.1452579
573	136.0041137
574	135.9013264
575	135.7809585
576	135.6604684
577	135.5714421
578	135.4711188
579	135.3299059
580	135.2021489
581	135.1047804
582	134.928133
583	134.8276169
584	134.7475998
585	134.6326372
586	134.5304334
587	134.4906698
588	134.3534296
589	134.30495
590	134.1862577
591	134.0625621
592	133.9505649
593	133.8355789
594	133.7640983
595	133.6906204
596	133.5801508
597	133.4744578
598	133.4331369
599	133.31858
600	133.2728041
601	133.18163
602	133.1201073
603	132.999988
604	132.905346
605	132.798558
606	132.6981951
607	132.605311
608	132.5494258
609	132.4391469
610	132.350305
611	132.2792653
612	132.1931598
613	132.0867729
614	131.9741367
615	131.8904509
616	131.7467048
617	131.6761757
618	131.5903364
619	131.4889904
620	131.4081644
621	131.322388
622	131.1835819
623	131.0928838
624	130.9878281
625	130.9074493
626	130.7663699
627	130.6450453
628	130.5301277
629	130.4345653
630	130.2974882
631	130.1616178
632	130.0476095
633	129.9971616
634	129.9251105
635	129.8400328
636	129.8112597
637	129.7237128
638	129.6320126
639	129.5329748
640	129.4494662
641	129.4010735
642	129.2969975
643	129.2021918
644	129.1019378
645	129.0665283
646	128.9712101
647	128.9283315
648	128.8234522
649	128.7468344
650	128.6792564
651	128.5656727
652	128.4701419
653	128.3518876
654	128.2907628
655	128.2208117
656	128.1114307
657	128.0342476
658	127.9676564
659	127.8751421
660	127.7898512
661	127.7415874
662	127.6059027
663	127.5196517
664	127.4948476
665	127.4175236
666	127.3520888
667	127.3073015
668	127.2163261
669	127.1693119
670	127.0816337
671	126.9253101
672	126.8201996
673	126.7637433
674	126.6572121
675	126.6003358
676	126.5094009
677	126.4364042
678	126.3486811
679	126.2673985
680	126.1829313
681	126.1505874
682	126.0469818
683	125.9467714
684	125.8348482
685	125.7528151
686	125.6501266
687	125.5310931
688	125.376046
689	125.3120473
690	125.2099769
691	125.1258241
692	124.96713
693	124.8633725
694	124.7669513
695	124.6748837
696	124.5775925
697	124.4983642
698	124.3899091
699	124.3022686
700	124.1891371
701	124.0784707
702	124.0150296
703	123.9621929
704	123.8823554
705	123.8121058
706	123.7325112
707	123.6389879
708	123.5858232
709	123.4950681
710	123.4159781
711	123.3590341
712	123.3209067
713	123.246972
714	123.1815062
715	123.1082006
716	123.0593744
717	122.9666189
718	122.9171369
719	122.8337893
720	122.772091
721	122.7140151
722	122.6103832
723	122.5419625
724	122.4521839
725	122.3371467
726	122.2588726
727	122.1745945
728	122.0963082
729	122.0134209
730	121.9333824
731	121.8273651
732	121.7361464
733	121.6737941
734	121.6089805
735	121.5234525
736	121.4567315
737	121.3823392
738	121.2917331
739	121.2165787
740	121.1274662
741	121.0544642
742	120.9799287
743	120.913573
744	120.8347067
745	120.7316377
746	120.6383137
747	120.6134454
748	120.5709722
749	120.5318837
750	120.4417228
751	120.3713012
752	120.3367681
753	120.3104284
754	120.2532667
755	120.2021834
756	120.1142117
757	120.0841482
758	120.0455363
759	119.9780507
760	119.9016559
761	119.8190759
762	119.7286118
763	119.6634984
764	119.5990175
765	119.5083738
766	119.4525259
767	119.3878781
768	119.327269
769	119.2700237
770	119.1941419
771	119.0946674
772	119.0116746
773	118.9409832
774	118.8630663
775	118.7935455
776	118.7271814
777	118.6748575
778	118.6005448
779	118.5192356
780	118.4720385
781	118.3850088
782	118.2964475
783	118.2400812
784	118.1519137
785	118.0750219
786	118.0096045
787	117.9391487
788	117.8165124
789	117.7610517
790	117.6955923
791	117.6333535
792	117.6077261
793	117.5883383
794	117.548058
795	117.4425494
796	117.3572657
797	117.3020197
798	117.223792
799	117.1630296
800	117.135695
801	117.109739
802	117.040987
803	116.9977485
804	116.9415313
805	116.898573
806	116.8124586
807	116.7806278
808	116.7125596
809	116.663037
810	116.6190537
811	116.5549606
812	116.495733
813	116.4161451
814	116.3480454
815	116.3238147
816	116.2429972
817	116.1810162
818	116.0948297
819	116.0152043
820	115.936666
821	115.8653322
822	115.8036528
823	115.7546443
824	115.6564105
825	115.5731207
826	115.499328
827	115.4257392
828	115.3548344
829	115.2851329
830	115.2206204
831	115.1888922
832	115.1300964
833	115.101747
834	115.060778
835	114.9759335
836	114.9318417
837	114.8689156
838	114.8072794
839	114.7313849
840	114.6415366
841	114.5625225
842	114.4916359
843	114.3981002
844	114.2861779
845	114.2612466
846	114.1715823
847	114.0876166
848	114.012859
849	113.9275786
850	113.8473955
851	113.7931597
852	113.731197
853	113.6702852
854	113.6145299
855	113.5128384
856	113.4402521
857	113.396779
858	113.3373426
