iter	RMSE
0	5144.087119
1	4719.543659
2	4333.564001
3	3988.176128
4	3666.832519
5	3373.48528
6	3111.000687
7	2866.037319
8	2654.910421
9	2454.927184
10	2269.895622
11	2108.083726
12	1953.804602
13	1814.87616
14	1687.614747
15	1580.065345
16	1473.066926
17	1379.176208
18	1295.164756
19	1213.967617
20	1144.438378
21	1077.941068
22	1022.014668
23	968.744469
24	919.7609655
25	872.8259101
26	835.0865664
27	798.8048523
28	763.5993562
29	737.2741416
30	709.5595687
31	681.4168371
32	660.5639045
33	634.8666021
34	620.0640365
35	602.1973003
36	584.4748723
37	570.0878854
38	556.104581
39	541.4204725
40	532.8233082
41	523.8950966
42	514.5348542
43	502.9307115
44	492.4704769
45	483.6081239
46	477.1822549
47	471.0766436
48	461.5546315
49	454.5659204
50	449.6733967
51	445.4919124
52	441.1425506
53	433.3745729
54	424.3543419
55	417.3223611
56	414.0721204
57	407.9764148
58	402.0202345
59	396.2816069
60	392.7260378
61	389.3725761
62	386.1882947
63	381.5716953
64	377.0294071
65	374.134727
66	370.0397618
67	367.5443927
68	364.6964512
69	360.7794349
70	357.5486382
71	354.2836586
72	351.0125015
73	348.1090806
74	346.2947884
75	343.744072
76	342.3335142
77	339.8235242
78	336.818387
79	334.2035341
80	332.298687
81	329.7768955
82	328.0966231
83	325.4400732
84	322.6368401
85	319.6417894
86	317.8083457
87	315.78829
88	313.7654337
89	312.10671
90	310.6739154
91	308.2192144
92	306.3492401
93	305.1564855
94	303.7046283
95	301.72553
96	299.4755555
97	297.7840678
98	297.1410128
99	295.3543664
100	294.3779839
101	292.441824
102	290.6436657
103	289.3354262
104	287.8228103
105	286.7971716
106	285.3214165
107	284.3210297
108	282.9025717
109	282.4483833
110	281.1446878
111	280.4079705
112	278.9113481
113	278.4577771
114	277.5757644
115	276.5023416
116	276.009348
117	274.3263658
118	272.9243523
119	272.2927096
120	271.2121135
121	270.2767938
122	269.6102583
123	269.2591658
124	267.9817808
125	266.8192284
126	266.106882
127	265.1540608
128	263.9518436
129	263.6589181
130	263.0358263
131	262.7195445
132	262.2142552
133	261.3388313
134	260.3792557
135	259.7052631
136	259.4807787
137	259.0939232
138	258.0701404
139	257.7361312
140	256.9672673
141	255.917375
142	255.3706703
143	254.3163298
144	253.2181292
145	252.4519029
146	251.464453
147	250.6659727
148	249.7899807
149	248.9515279
150	248.4082268
151	247.5512265
152	247.1517036
153	246.4471027
154	245.956501
155	245.066276
156	244.8243283
157	244.158026
158	243.1796113
159	242.9485051
160	242.0728881
161	241.667271
162	240.9973716
163	240.8024926
164	240.607013
165	239.948472
166	239.184828
167	239.0022296
168	238.3170535
169	237.5262571
170	237.2888708
171	236.7643251
172	235.8716364
173	235.4388813
174	234.8759041
175	234.2879885
176	233.5212335
177	233.0507832
178	232.6110748
179	231.9681365
180	231.4116841
181	231.0942264
182	230.4519044
183	229.8762088
184	229.1734373
185	228.4999495
186	228.0768398
187	227.5716178
188	226.9507602
189	226.4799327
190	226.0647117
191	225.4503716
192	224.7924339
193	224.4205544
194	223.9353192
195	223.477856
196	223.0044127
197	222.6148236
198	222.3332137
199	221.7720154
200	221.4009802
201	221.1162099
202	220.6783346
203	220.1742822
204	219.6983811
205	219.4710833
206	219.0031282
207	218.5610546
208	218.2835117
209	217.9035406
210	217.4667193
211	217.1330963
212	216.7079056
213	216.2562636
214	216.0529008
215	215.670142
216	214.8862943
217	214.4384155
218	214.0929534
219	214.0182369
220	213.6128196
221	213.1653503
222	212.9135399
223	212.3244401
224	212.0122197
225	211.6188426
226	211.0021329
227	210.4893472
228	210.06371
229	209.725034
230	209.3974089
231	208.9477649
232	208.5584616
233	208.2654842
234	208.0442013
235	207.6910005
236	207.4308034
237	207.2644247
238	206.6908307
239	206.3196164
240	206.1109383
241	205.6953291
242	205.4651542
243	204.9582073
244	204.6320811
245	204.4115187
246	203.9754652
247	203.6821423
