iter	Passed	Remaining
0	80	80659
1	148	74060
2	210	70073
3	266	66327
4	329	65590
5	392	64964
6	457	64843
7	506	62785
8	552	60877
9	615	60913
10	663	59640
11	709	58416
12	779	59195
13	829	58413
14	876	57577
15	943	58001
16	991	57339
17	1059	57775
18	1107	57173
19	1167	57196
20	1217	56763
21	1280	56932
22	1335	56731
23	1387	56426
24	1439	56128
25	1494	55985
26	1564	56366
27	1613	56023
28	1675	56083
29	1738	56216
30	1787	55873
31	1856	56170
32	1909	55943
33	1976	56167
34	2054	56648
35	2127	56961
36	2199	57249
37	2288	57930
38	2383	58734
39	2461	59071
40	2527	59125
41	2593	59147
42	2658	59176
43	2723	59163
44	2779	58983
45	2839	58884
46	2911	59042
47	2979	59087
48	3053	59262
49	3123	59347
50	3172	59038
51	3242	59116
52	3295	58882
53	3362	58898
54	3427	58884
55	3494	58914
56	3562	58931
57	3631	58984
58	3689	58849
59	3755	58837
60	3822	58847
61	3873	58601
62	3938	58580
63	3999	58486
64	4069	58533
65	4130	58457
66	4184	58274
67	4253	58293
68	4321	58314
69	4385	58266
70	4433	58015
71	4484	57801
72	4533	57564
73	4593	57477
74	4644	57279
75	4691	57039
76	4762	57085
77	4827	57061
78	4889	57007
79	4940	56812
80	5019	56953
81	5131	57448
82	5180	57236
83	5246	57215
84	5299	57047
85	5350	56859
86	5398	56653
87	5453	56520
88	5506	56365
89	5572	56347
90	5631	56253
91	5686	56126
92	5748	56066
93	5820	56100
94	5889	56103
95	5957	56096
96	6006	55920
97	6060	55782
98	6137	55857
99	6196	55770
100	6272	55827
101	6343	55848
102	6400	55741
103	6471	55752
104	6560	55917
105	6638	55986
106	6732	56185
107	6817	56307
108	6895	56368
109	6954	56271
110	7019	56221
111	7081	56145
112	7137	56029
113	7207	56012
114	7295	56146
115	7370	56169
116	7440	56151
117	7503	56084
118	7574	56078
119	7643	56051
120	7696	55909
121	7771	55932
122	7825	55795
123	7883	55693
124	7932	55525
125	7982	55367
126	8038	55256
127	8110	55249
128	8176	55207
129	8243	55166
130	8305	55094
131	8356	54948
132	8421	54895
133	8470	54741
134	8573	54930
135	8627	54812
136	8694	54767
137	8766	54756
138	8854	54847
139	8929	54850
140	9007	54876
141	9082	54877
142	9154	54862
143	9210	54749
144	9282	54735
145	9343	54651
146	9411	54614
147	9473	54534
148	9527	54417
149	9598	54389
150	9661	54320
151	9711	54178
152	9761	54038
153	9833	54018
154	9911	54030
155	9970	53944
156	10026	53833
157	10091	53777
158	10175	53819
159	10230	53707
160	10294	53648
161	10354	53564
162	10414	53480
163	10476	53403
164	10545	53368
165	10598	53246
166	10651	53131
167	10711	53047
168	10777	52994
169	10838	52917
170	10892	52806
171	10961	52767
172	11015	52659
173	11082	52608
174	11147	52551
175	11218	52521
176	11305	52567
177	11370	52508
178	11436	52454
179	11488	52337
180	11568	52347
181	11623	52242
182	11686	52174
183	11777	52230
184	11851	52211
185	11920	52167
186	11974	52060
187	12055	52067
188	12131	52056
189	12200	52011
190	12271	51978
191	12334	51907
192	12405	51872
193	12473	51822
194	12527	51715
195	12580	51606
196	12645	51546
197	12696	51427
198	12760	51362
199	12816	51265
200	12885	51219
201	12950	51160
202	12999	51037
203	13062	50968
204	13135	50938
205	13210	50917
206	13276	50862
207	13344	50813
208	13398	50708
209	13457	50627
210	13517	50547
211	13578	50472
212	13629	50360
213	13687	50274
214	13743	50180
215	13791	50058
216	13842	49947
217	13893	49839
218	13940	49715
219	14007	49664
220	14098	49695
221	14181	49699
222	14265	49704
223	14319	49606
224	14388	49558
225	14451	49494
226	14524	49460
227	14577	49360
228	14638	49286
229	14707	49239
230	14777	49193
231	14846	49146
232	14918	49109
233	14984	49051
234	15162	49360
235	15250	49370
236	15335	49370
237	15395	49291
238	15451	49199
239	15505	49101
240	15578	49063
241	15637	48980
242	15708	48934
243	15762	48838
244	15841	48817
245	15910	48765
246	15963	48666
247	16035	48623
248	16119	48616
249	16171	48514
250	16259	48520
251	16345	48516
252	16467	48622
253	16538	48574
254	16607	48521
255	16673	48456
256	16736	48386
257	16789	48287
258	16885	48308
259	16976	48317
260	17046	48266
261	17131	48255
262	17184	48156
263	17237	48054
264	17304	47996
265	17401	48017
266	17492	48022
267	17579	48014
268	17659	47988
269	17741	47967
270	17830	47963
271	17928	47985
272	18015	47976
273	18092	47938
274	18162	47882
275	18218	47791
276	18285	47727
277	18360	47683
278	18435	47642
279	18504	47581
280	18572	47520
281	18644	47469
282	18714	47415
283	18775	47334
284	18852	47296
285	18919	47233
286	18987	47170
287	19044	47082
288	19101	46993
289	19166	46925
290	19232	46857
291	19290	46773
292	19356	46706
293	19432	46664
294	19493	46585
