iter	RMSE
0	7707.796927
1	7337.711735
2	7019.029789
3	6746.575709
4	6516.206008
5	6316.117582
6	6137.834119
7	5984.733332
8	5854.400447
9	5735.03912
10	5643.812953
11	5563.063061
12	5485.564672
13	5415.538451
14	5353.503883
15	5294.789326
16	5239.45082
17	5177.944195
18	5139.6648
19	5101.364491
20	5059.958067
21	5023.379935
22	5019.183061
23	5015.194633
24	4978.604132
25	4975.071377
26	4943.568338
27	4940.196634
28	4906.360512
29	4903.164039
30	4900.096477
31	4873.03052
32	4870.248704
33	4854.98164
34	4852.315526
35	4849.794225
36	4847.302795
37	4817.64829
38	4815.355398
39	4813.151125
40	4811.077661
41	4788.166417
42	4786.209849
43	4784.349585
44	4782.463324
45	4780.781012
46	4762.366861
47	4760.829768
48	4748.762651
49	4723.867364
50	4722.401154
51	4721.007647
52	4699.835639
53	4698.412551
54	4697.05952
55	4695.849424
56	4673.835558
57	4672.998369
58	4671.943182
59	4665.281985
60	4664.284909
61	4663.575249
62	4662.656144
63	4645.679146
64	4642.463527
65	4619.542987
66	4610.586402
67	4599.012204
68	4596.03211
69	4564.491699
70	4552.386668
71	4551.574769
72	4551.037523
73	4550.494506
74	4523.66148
75	4512.57692
76	4504.286531
77	4498.109895
78	4496.821904
79	4490.79408
80	4490.298127
81	4467.451538
82	4461.60172
83	4454.321447
84	4445.116979
85	4436.567907
86	4430.652992
87	4430.293717
88	4429.517921
89	4413.646933
90	4412.907012
91	4406.020665
92	4400.6959
93	4394.826977
94	4388.847171
95	4381.771231
96	4366.752259
97	4357.658237
98	4341.339591
99	4338.658964
