iter	Passed	Remaining
0	187	18539
1	254	12467
2	324	10496
3	391	9391
4	452	8593
5	523	8201
6	593	7890
7	664	7643
8	740	7492
9	802	7219
10	884	7159
11	954	7003
12	1037	6944
13	1110	6824
14	1230	6972
15	1293	6788
16	1360	6644
17	1424	6487
18	1485	6334
19	1552	6211
20	1632	6139
21	1713	6073
22	1791	5998
23	1863	5902
24	1951	5855
25	2029	5775
26	2142	5792
27	2228	5731
28	2309	5655
29	2394	5586
30	2467	5491
31	2562	5445
32	2631	5342
33	2699	5240
34	2758	5122
35	2817	5009
36	2872	4890
37	2949	4812
38	3019	4722
39	3091	4637
40	3156	4541
41	3216	4441
42	3278	4345
43	3343	4255
44	3415	4174
45	3483	4089
46	3555	4009
47	3616	3917
48	3681	3831
49	3758	3758
50	3830	3680
51	3895	3596
52	3963	3515
53	4030	3433
54	4104	3358
55	4170	3276
56	4229	3190
57	4288	3105
58	4354	3026
59	4419	2946
60	4479	2864
61	4541	2783
62	4605	2705
63	4685	2635
64	4761	2563
65	4850	2498
66	4916	2421
67	4985	2345
68	5050	2269
69	5119	2194
70	5180	2116
71	5241	2038
72	5298	1959
73	5358	1882
74	5439	1813
75	5524	1744
76	5598	1672
77	5662	1597
78	5723	1521
79	5786	1446
80	5848	1371
81	5919	1299
82	5986	1226
83	6045	1151
84	6097	1075
85	6153	1001
86	6204	927
87	6256	853
88	6308	779
89	6360	706
90	6412	634
91	6467	562
92	6519	490
93	6571	419
94	6628	348
95	6686	278
96	6740	208
97	6801	138
98	6862	69
99	6930	0
